the_geom,company,boro,building,street,cb,installati,active,payphones_,x_coordina,y_coordina,curbside,wifi,advertisin,electrifie,zoning,distrct_co
POINT (-73.9912349280223 40.76546112408218),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,755,10 AVENUE,4,10741,Y,2,986678,218155,YES,N,Y,Y,C6-3/CL,3
POINT (-73.98212540995682 40.757585402844406),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,1185,6 AVENUE,5,5608,Y,1,989202,215286,YES,N,Y,Y,C6-6/MID,4
POINT (-73.97906397142789 40.57550189911937),CityBridge LLC,BK,1116,SURF AVENUE,13,1642,Y,1,990066,148948,YES,N,Y,N,C7,47
POINT (-74.01016461912246 40.71073888409873),CityBridge LLC,MN,16,DEY STREET,1,9948,Y,2,981432,198218,YES,N,Y,N,C5-5/LM,1
POINT (-73.9817447193715 40.763736313307895),CityBridge LLC,MN,205,WEST 54 STREET,5,9949,Y,2,989307,217527,YES,N,Y,Y,C6-7/MID,4
POINT (-73.95076761234255 40.686308610783364),CityBridge LLC,BK,388,NOSTRAND AVENUE,3,12511,Y,1,997904,189321,YES,N,N,N,C1-3/R6,36
POINT (-73.88104287238264 40.882956326513515),CityBridge LLC,BX,3500,JEROME AVENUE,7,7325,Y,1,1017144,260985,YES,N,N,N,C1-3/R7-1,11
POINT (-73.95223281272979 40.74995472487298),CityBridge LLC,QU,44-19,VERNON BOULEVARD,2,7251,Y,1,997485,212509,YES,N,N,N,M1-4,26
POINT (-73.97272673220272 40.75601631163712),CityBridge LLC,MN,540,LEXINGTON AVENUE,5,14123,Y,1,991806,214715,YES,N,Y,N,C5-2.5/MID,4
POINT (-73.95250688979708 40.800886191165006),CityBridge LLC,MN,60,ST NICHOLAS AVENUE,10,7253,Y,1,997399,231065,YES,N,N,N,R7-2,9
POINT (-74.00435936494031 40.74237531546287),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,89,9 AVENUE,4,5950,Y,1,983042,209744,YES,N,Y,Y,M1-5,3
POINT (-74.00320463955387 40.743898689833294),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,144,9 AVENUE,4,5951,Y,1,983362,210299,YES,N,Y,Y,C2-6A,3
POINT (-73.96186202686944 40.66802713550639),CityBridge LLC,BK,901,WASHINGTON AVENUE,9,11567,Y,1,994830,182659,YES,N,N,N,R8A,35
POINT (-74.00359436384085 40.74335796254608),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,126,9 AVENUE,4,5952,Y,1,983254,210102,YES,N,Y,Y,C2-6A,3
POINT (-73.99114007433302 40.69152014086893),CityBridge LLC,BK,77,LIVINGSTON STREET,2,13626,Y,1,986707,191216,YES,N,Y,N,C5-2A/DB,33
POINT (-73.98552597236056 40.689540592789925),CityBridge LLC,BK,212,LIVINGSTON STREET,2,13627,Y,2,988264,190495,YES,N,Y,N,C6-4/DB,33
POINT (-73.85372660587606 40.84923100113565),CityBridge LLC,BX,1074,MORRIS PARK AVENUE,11,13410,Y,1,1024718,248709,YES,N,Y,N,C1-2/R4,13
POINT (-73.85806215950205 40.69258850113643),CityBridge LLC,QU,86-15,JAMAICA AVENUE,9,15488,Y,1,1023611,191637,YES,N,Y,Y,C1-2/R3-1,32
POINT (-73.94366495653641 40.60024261063584),CityBridge LLC,BK,2803,AVENUE U,15,13552,Y,2,999894,157966,YES,N,Y,N,C1-2/R4,46
POINT (-73.96068443935933 40.67217958632655),CityBridge LLC,BK,461,LINCOLN PLACE,8,7411,Y,1,995156,184172,YES,N,N,N,R7-1,35
POINT (-73.93437076515016 40.8015771977468),CityBridge LLC,MN,2401,2 AVENUE,11,15447,Y,1,1002420,231320,YES,N,Y,Y,C1-4/R7-2/TA,8
POINT (-73.94049339077336 40.789053575035986),CityBridge LLC,MN,2035,1 AVENUE,11,15437,Y,1,1000728,226756,YES,N,Y,Y,C2-5/R8A,8
POINT (-74.00665956638704 40.72058185215244),CityBridge LLC,MN,26,VARICK STREET,1,4018,Y,1,982404,201804,YES,N,Y,N,C6-2A,1
POINT (-73.94013884092105 40.797803592031116),CityBridge LLC,MN,2120,3 AVENUE,11,14779,Y,1,1000824,229944,YES,N,Y,N,C4-4D,8
POINT (-73.96046971099425 40.779013686468126),CityBridge LLC,MN,33,EAST 83 STREET,8,3879,Y,1,995198,223095,YES,N,Y,,C5-1/MP,4
POINT (-73.97779503140428 40.78675298877178),CityBridge LLC,MN,2310,BROADWAY,7,15880,Y,1,990399,225913,YES,N,Y,N,C2-5/R8B,6
POINT (-73.93179234038637 40.84690195586405),CityBridge LLC,MN,2400,AMSTERDAM AVENUE,12,13495,Y,1,1003121,247834,YES,N,Y,N,C8-3,10
POINT (-73.91493100331918 40.77913179317671),CityBridge LLC,QU,24-19,DITMARS BOULEVARD,1,7396,Y,1,1007810,223147,YES,N,N,N,R5,22
POINT (-73.98210296785003 40.73363746053375),CityBridge LLC,MN,350,EAST 17 STREET,6,14500,Y,1,989210,206561,YES,N,Y,N,C1-8,2
POINT (-74.03141516276186 40.63741112247432),CityBridge LLC,BK,119,BAY RIDGE AVENUE,10,11645,Y,1,975531,171504,YES,N,N,N,C1-3/R3-2/BR,43
POINT (-73.94685883013004 40.83132816327186),CityBridge LLC,MN,3696,BROADWAY,9,5422,Y,1,998956,242157,YES,N,N,N,R8,7
POINT (-73.94679511901528 40.62630592346277),CityBridge LLC,BK,2384,NOSTRAND AVENUE,14,16094,Y,1,999019,167461,YES,N,N,N,C2-2/R6,45
POINT (-73.90051940785209 40.86206292648753),CityBridge LLC,BX,2454,WALTON AVENUE,5,7401,Y,1,1011767,253366,YES,N,N,N,C4-4,14
POINT (-73.91588958189749 40.746316339633125),CityBridge LLC,QU,48-20,SKILLMAN AVENUE,2,7402,Y,1,1007556,211191,YES,N,N,N,C1-3/R7-1,26
POINT (-73.86546190489449 40.74435538217143),CityBridge LLC,QU,97-68,CORONA AVENUE,4,11649,Y,1,1021530,210494,YES,N,N,N,R5,21
POINT (-73.98186034815717 40.67054349780778),CityBridge LLC,BK,356,6 AVENUE,6,7404,Y,1,989282,183574,YES,N,N,N,R6B,39
POINT (-73.84658171902474 40.87697340194089),CityBridge LLC,BX,3497,BOSTON ROAD,12,11651,Y,1,1026677,258820,YES,N,N,N,C4-2,12
POINT (-73.90715999812892 40.83660307898636),CityBridge LLC,BX,1402,WEBSTER AVENUE,3,11653,Y,1,1009940,244088,YES,N,N,N,R7-1,16
POINT (-73.88000618229988 40.748038441681),CityBridge LLC,QU,86-10,ROOSEVELT AVENUE,4,13851,Y,1,1017498,211830,YES,N,Y,N,C2-3/R6,21
